"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"4391","BraveBots","34","85.4","1794","1892","16.6","58.9","9.9","0.68","0.6","0.77","N/A","N/A","N/A","57-14-0","0.803"
"2337","EngiNERDs","52","81.9","1772","1868","22.5","50.7","8.7","0.6","0.51","0.33","N/A","N/A","N/A","51-19-0","0.729"
"2767","Stryke Force","58","80.1","1761","1856","18.8","51.1","10.3","0.69","0.29","0.34","N/A","N/A","N/A","61-16-0","0.792"
"27","Team RUSH","60","80","1760","1855","18.6","50.6","10.8","0.52","0.78","0.45","N/A","N/A","N/A","64-24-0","0.727"
"67","The HOT Team","64","79.8","1759","1854","19.3","49.9","10.5","0.5","0.65","0.45","N/A","N/A","N/A","58-12-0","0.829"
"1701","RoboCubs","69","79.2","1755","1850","21.2","49.4","8.5","0.53","0.34","0.36","N/A","N/A","N/A","40-21-1","0.653"
"7769","The CREW","78","78","1748","1842","16.4","51.1","10.5","0.51","0.22","0.43","N/A","N/A","N/A","40-20-0","0.667"
"2137","The Oxford RoboCats","85","77.4","1744","1838","20.2","49.6","7.6","0.59","0.65","0.22","N/A","N/A","N/A","47-16-0","0.746"
"5460","Strike Zone","87","77.3","1743","1837","22.2","49","6","0.56","0.75","0.33","N/A","N/A","N/A","52-12-2","0.803"
"33","Killer Bees","88","77.2","1743","1836","14","55","8.2","0.63","0.22","0.5","N/A","N/A","N/A","48-16-0","0.750"
"3538","RoboJackets","90","77.1","1742","1836","18.5","51.9","6.8","0.62","0.48","0.36","N/A","N/A","N/A","48-14-0","0.774"
"2054","Tech Vikes","95","76.5","1738","1831","23.4","44.4","8.8","0.46","0.28","0.44","N/A","N/A","N/A","62-25-0","0.713"
"3604","Goon Squad","106","75.5","1732","1824","13.2","53.2","9","0.43","0.29","0.28","N/A","N/A","N/A","30-26-1","0.535"
